2/1	*	28.4
9/1	*	40.3
16/1	*	49.3
23/1	*	43.0
30/1	*	37.0
6/2	*	52.8
13/2	*	54.0
20/2	*	42.8
27/2	*	55.1
6/3	*	51.1
13/3	*	51.0
20/3	*	59.1
27/3	*	60.0
3/4	*	53.1
10/4	*	50.0
17/4	*	51.5
24/4	*	48.3
1/5	*	50.1
8/5	*	47.6
15/5	*	49.0
22/5	*	54.3
29/5	3.8	45.8
5/6	3.7	42.3
12/6	2.8	53.5
19/6	2.8	40.7
26/6	3.2	44.4
3/7	4.0	44.4
10/7	4.0	47.8
17/7	3.6	40.1
24/7	2.7	51.5
31/7	4.0	53.4
7/8	4.4	46.7
14/8	5.3	41.5
21/8	5.5	37.8
28/8	6.8	55.5
4/9	6.3	50.9
11/9	8.4	59.6
18/9	7.4	57.8
25/9	7.6	60.8
2/10	6.3	50.6
9/10	4.5	46.0
16/10	3.9	50.6
23/10	3.1	50.0
30/10	2.7	47.2
6/11	2.1	42.3
13/11	3.2	28.9
20/11	3.1	40.1
27/11	4.4	35.9
4/12	2.6	38.0
11/12	2.8	39.8
18/12	2.4	42.6
25/12	2.4	46.2
1/1	2.9	43.7
8/1	3.6	47.2
15/1	4.8	49.8
22/1	8.0	65.8
29/1	8.0	71.3
5/2	10.7	47.5
12/2	9.7	49.0
19/2	6.3	63.9
26/2	6.9	60.7
5/3	4.0	42.0
12/3	4.0	41.2
19/3	3.6	35.6
26/3	4.9	44.2
2/4	3.9	47.7
9/4	4.3	45.5
16/4	4.2	48.1
23/4	3.4	46.4
30/4	2.8	37.0
7/5	3.3	39.5
14/5	3.1	42.3
21/5	2.6	44.4
28/5	3.1	40.6
4/6	3.6	45.7
11/6	3.8	44.3
18/6	3.4	38.7
25/6	4.5	41.3
2/7	3.3	33.2
9/7	3.9	40.5
16/7	3.2	37.5
23/7	3.1	36.2
30/7	3.1	31.7
6/8	3.1	33.0
13/8	3.9	30.9
20/8	4.2	31.9
27/8	3.3	37.9
3/9	3.1	37.7
10/9	3.2	42.9
17/9	5.1	39.6
24/9	2.4	42.3
1/10	3.9	40.0
8/10	4.2	36.0
15/10	3.7	38.4
22/10	2.4	37.1
29/10	2.9	38.4
5/11	2.7	35.6
12/11	2.1	33.4
19/11	3.9	35.1
26/11	2.8	37.8
3/12	2.7	38.0
10/12	1.9	39.6
17/12	3.6	43.2
24/12	3.7	33.1
31/12	4.2	37.6
7/1	2.9	30.9
14/1	3.9	40.8
21/1	4.5	31.3
28/1	8.0	41.7
4/2	5.9	48.7
11/2	6.3	47.8
18/2	8.4	58.2
25/2	6.6	56.7
3/3	6.4	50.2
10/3	6.9	50.4
17/3	5.7	54.3
24/3	5.6	52.3
31/3	6.8	46.2
