"","Day","Mean Pressure (hPa)","Absolute Daily Max Air Temperature (deg. C)","Mean Air Temperature (deg. C)","Absolute Daily Min Air Temperature (deg. C)","Mean Dew Point (deg. C)","Mean Relative Humidity (%)","Mean Amount of Cloud (%)","Total Rainfall (mm)","Total Bright Sunshine (hours)","Prevailing Wind Direction (degrees)","Mean Wind Speed (km/h)","WeekID","GP","Date"
"1",1,1018.1,18.1,16.2,15,11.4,73,84,"Trace",2.7,"60","37.6",0,0,2010-01-01
"2",2,1016.1,20,17.4,16.1,15.4,88,88,"5.2",0.5,"20","21.4",1,4.05714285714286,2010-01-02
"3",3,1017.1,18.3,17,15.8,14.7,87,85,"3.5",1.4,"50","21.8",1,4.05714285714286,2010-01-03
"4",4,1015.1,19.9,17.9,15.9,14.6,81,68,"0",7.3,"40","21.9",1,4.05714285714286,2010-01-04
"5",5,1015.6,18.5,17.3,15.9,14.5,84,85,"0.8",0.1,"60","42.2",1,4.05714285714286,2010-01-05
"6",6,1018.6,16.8,15.8,14.4,14.1,90,88,"1.2",0,"40","31.8",1,4.05714285714286,2010-01-06
"7",7,1021.3,14.7,13.7,12.6,11.1,84,88,"0.5",0,"20","25.5",1,4.05714285714286,2010-01-07
"8",8,1020.6,15.5,13.7,11.6,10.3,80,88,"0.9",0,"10","19.2",1,4.05714285714286,2010-01-08
"9",9,1018.9,17.1,15.1,13.6,11.3,78,76,"0",3.2,"50","30.8",2,5.75714285714286,2010-01-09
"10",10,1017.3,19.1,17.4,15.7,13.9,80,86,"Trace",3.1,"40","30.1",2,5.75714285714286,2010-01-10
"11",11,1018.3,18.2,15,12,13.2,89,80,"12.5",0,"360","26.7",2,5.75714285714286,2010-01-11
"12",12,1023,15.2,12.1,9.9,5.3,63,21,"0",9.6,"360","36.8",2,5.75714285714286,2010-01-12
"13",13,1026.8,15.9,12.9,9.8,3.4,53,45,"0",9.5,"10","22.8",2,5.75714285714286,2010-01-13
"14",14,1026.6,16.1,14.5,12.8,8,66,57,"Trace",8.7,"60","32.6",2,5.75714285714286,2010-01-14
"15",15,1025,18.4,15.8,13.8,9.8,68,36,"0",9,"40","31.2",2,5.75714285714286,2010-01-15
"16",16,1025.8,19.7,16.7,15,10.1,66,47,"0",8.4,"40","25.8",3,7.04285714285714,2010-01-16
"17",17,1025.9,19.8,16.5,14.6,12.5,77,38,"0",7.7,"40","27.8",3,7.04285714285714,2010-01-17
"18",18,1023.8,19.7,16.9,14.8,12.8,78,50,"0",9.8,"60","29.5",3,7.04285714285714,2010-01-18
"19",19,1021,20.2,18.1,15.9,14.6,80,85,"0",5,"30","28",3,7.04285714285714,2010-01-19
"20",20,1019.7,22.7,21.3,19.6,18.3,83,88,"Trace",0.1,"30","30.5",3,7.04285714285714,2010-01-20
"21",21,1018.5,24,22.3,21.3,20,87,81,"0",1.6,"60","27.4",3,7.04285714285714,2010-01-21
"22",22,1021.5,21.6,18.3,16.5,15.9,86,85,"Trace",1.7,"60","39.9",3,7.04285714285714,2010-01-22
"23",23,1022.7,16.6,15.5,14.9,13.1,86,88,"Trace",0,"30","26.6",4,6.14285714285714,2010-01-23
"24",24,1021.1,17.1,15.7,14.5,13.1,85,88,"Trace",0,"30","23.3",4,6.14285714285714,2010-01-24
"25",25,1021.1,21.7,18.4,16.1,14.4,78,87,"0",1.1,"360","20.7",4,6.14285714285714,2010-01-25
"26",26,1023.4,17.8,16.1,15.4,12.6,79,88,"Trace",0.1,"60","30.8",4,6.14285714285714,2010-01-26
"27",27,1019.6,18.9,16.9,15.5,14.1,84,87,"Trace",2,"50","27.7",4,6.14285714285714,2010-01-27
"28",28,1017.4,22.4,19.4,17.4,17.9,91,83,"Trace",1,"20","10.3",4,6.14285714285714,2010-01-28
"29",29,1019.4,19.5,18.4,17.4,16.5,89,84,"Trace",0.2,"40","26.1",4,6.14285714285714,2010-01-29
"30",30,1018.2,20.6,18.6,17.1,15.9,84,78,"0",5.2,"30","24.5",5,5.28571428571429,2010-01-30
"31",31,1016.5,24.5,21.4,19.2,18.4,83,46,"0",9.7,"30","7.9",5,5.28571428571429,2010-01-31
